activity_id,id,name,category,sector,source,source_link,source_dataset,uncertainty,year,year_released,region,region_name,description,unit_type,unit,source_lca_activity,data_quality_flags,access_type,supported_calculation_methods,factor,factor_calculation_method,factor_calculation_origin,constituent_gases.co2e_total,constituent_gases.co2e_other,constituent_gases.co2,constituent_gases.ch4,constituent_gases.n2o
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,6f7159ff-412f-48f5-8914-72fc5f2476cf,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-NU,"Nunavut, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,17984938-fc23-4a7f-ac2b-2dd05ba60c80,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-NU,"Nunavut, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,42357bd1-cc44-4d9f-aae3-4e76221ea2f3,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-NU,"Nunavut, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,667f01e5-4650-41c2-b9fe-393500f3fa30,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-ON,"Ontario, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9216576,ar6,climatiq,,,1.911,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,f471bed7-5de9-43ba-984f-b5e79102835e,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-ON,"Ontario, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9256576,ar6,climatiq,,,1.915,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,5a296c2d-c5d4-41b5-8a54-a03f858256ee,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-ON,"Ontario, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9266576,ar6,climatiq,,,1.916,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,5db73bb8-fcdf-49ca-a253-045c98c4d4e1,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-ON,"Ontario, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9316576,ar6,climatiq,,,1.921,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,44a1ac85-fe3f-4e9d-b06b-a8139291c779,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-ON,"Ontario, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9316576,ar6,climatiq,,,1.921,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,1de9a78e-7374-41c8-b592-23fed83e948c,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-ON,"Ontario, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9316576,ar6,climatiq,,,1.921,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,5c5c5b51-89f0-40c7-9310-266ca46833af,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-PE,"Prince Edward Island, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9106576,ar6,climatiq,,,1.9,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,44bd4fbd-d308-40b7-ba22-6f15f7e0dbb6,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-PE,"Prince Edward Island, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9246576,ar6,climatiq,,,1.914,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,e37d35bc-70ff-4cc6-9fcb-e996a7dfab49,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-PE,"Prince Edward Island, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9246576,ar6,climatiq,,,1.914,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,1620422e-061e-4ed1-99af-b9548fa77639,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-PE,"Prince Edward Island, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9286576,ar6,climatiq,,,1.918,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,fb14ec5e-0dc8-43d7-a2ef-14fe523b7022,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-PE,"Prince Edward Island, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9316576,ar6,climatiq,,,1.921,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,e103b118-8193-4315-9896-0d567ad8d3b0,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-PE,"Prince Edward Island, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9316576,ar6,climatiq,,,1.921,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,381d14f9-172b-49ee-b307-45e996f44047,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-QC,"Quebec, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9216576,ar6,climatiq,,,1.911,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,85ea5198-df34-4437-a71a-36914d6ee6a5,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-QC,"Quebec, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9176576,ar6,climatiq,,,1.907,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,1b78da62-48d6-4cb1-b82d-cd486f43a03e,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-QC,"Quebec, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9256576,ar6,climatiq,,,1.915,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,d5291ad6-3fe9-462a-8be1-f1bea7bc67f0,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-QC,"Quebec, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9366576,ar6,climatiq,,,1.926,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,d4a4ba2d-e834-417e-ae98-d57d685729be,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-QC,"Quebec, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9366576,ar6,climatiq,,,1.926,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,acbc6126-0de5-4902-8b90-3216b8e76ef9,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-QC,"Quebec, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9366576,ar6,climatiq,,,1.926,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,2baa80ba-c0d6-4d53-b49f-db0482c68d63,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-SK,"Saskatchewan, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.8916576,ar6,climatiq,,,1.881,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,472013cc-c62d-4071-a5dc-229f96be6584,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-SK,"Saskatchewan, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9076576,ar6,climatiq,,,1.897,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,1d4080ef-39cc-4315-8bd7-40fc8c0af510,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-SK,"Saskatchewan, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9106576,ar6,climatiq,,,1.9,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,68bc2038-ae20-4949-bb82-633b998088e8,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-SK,"Saskatchewan, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9306576,ar6,climatiq,,,1.92,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,432aa67e-7f2f-4f36-9c0e-f864d19ec13c,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-SK,"Saskatchewan, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9306576,ar6,climatiq,,,1.92,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,5cbca8af-444b-4728-bf25-10dba5b34a0a,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-SK,"Saskatchewan, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9306576,ar6,climatiq,,,1.92,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,14b56351-090f-43d1-bf71-83b5bda3f5bb,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-YT,"Yukon, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9496576,ar6,climatiq,,,1.939,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,483ba7e7-7e71-48df-bf2b-15fbdef246fd,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-YT,"Yukon, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9516576,ar6,climatiq,,,1.941,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,3c66aab7-0f69-469b-a7aa-091ce00be712,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-YT,"Yukon, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9656576000000001,ar6,climatiq,,,1.955,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,a337212d-5c3d-4f6b-b913-3ce0f15078c2,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-YT,"Yukon, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,a3411734-a672-4515-97ad-15cfcd1b2650,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-YT,"Yukon, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,11c0322f-4f08-4523-9ea5-86a5db8af9cc,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-YT,"Yukon, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
construction-type_construction_work,5e1be19c-adbc-4d70-82a8-cfe7d923f1a9,Construction work,Construction,Buildings and Infrastructure,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,AT,Austria,Emission intensity of supply chain in EUR spend on: construction work. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",0.2678,ar5,source,0.2678,,,,
building_materials-type_bricks_tiles_construction_products_in_baked_clay,9d318819-acef-4548-ae79-f3081399ff7f,Bricks/tiles and construction products in baked clay,Building Materials,Materials and Manufacturing,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,AT,Austria,Emission intensity of supply chain in EUR spend on: bricks/tiles and construction products in baked clay. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",0.6795,ar5,source,0.6795,,,,
consumer_goods-type_creative_arts_and_entertainment_services,9d021291-3be4-4d77-8eea-7a1c1f02d23a,Creative arts and entertainment services,Recreation and Culture,Consumer Goods and Services,BEIS,https://www.gov.uk/government/statistics/uks-carbon-footprint,UK full dataset including conversion factors by SIC code,,2019,2019,GB,United Kingdom,Emission intensity of supply chain in GBP spend on: creative arts and entertainment services. Provided by BEIS/DEFRA in the official report on UK and England's carbon footprint to 2019,Money,kg/gbp,unknown,[],public,['ar4'],0.094,ar4,source,0.094,,0.071,,
consumer_services-type_entertainment_cinema_events_tv_subscription,5ac7b6df-b6c1-4eb5-bc09-c0d3b28d69d8,Entertainment (cinema/live events/theme parks/TV licenses/TV subscriptions),Recreation and Culture,Consumer Goods and Services,BEIS,https://www.gov.uk/government/statistics/uks-carbon-footprint,UK full dataset including conversion factors by COICOP code (archived),,2018,2018,GB,United Kingdom,Emission intensity of supply chain in GBP spend on: cinemas/ live entertainment/theatre/concerts/shows/ museums/zoological gardens/theme parks/ TV licenses/ satellite subscriptions/ rent for TV/Satellite/VCR/ cable subscriptions/ TV slot meter payments/ video cassette and CD hire. In actual prices in £s and including VAT. Provided by BEIS/DEFRA in the official report on GHG Emissions of the UK between 1996-2018. Where source emission factors are identical across a variety of activities they have been grouped to avoid confusion - details are documented in the OEFDB data guidance. NOTE: This dataset has been deprecated by the source and will be replaced soon.,Money,kg/gbp,unknown,[],public,['ar4'],0.241,ar4,source,0.241,,,,
construction-type_buildings_and_building_construction_works,5813d832-7910-4735-89d1-5b3c237b3afd,Buildings and building construction works,Construction,Buildings and Infrastructure,BEIS,https://www.gov.uk/government/statistics/uks-carbon-footprint,UK full dataset including conversion factors by SIC code,,2019,2019,GB,United Kingdom,Emission intensity of supply chain in GBP spend on: buildings and building construction works. Provided by BEIS/DEFRA in the official report on UK and England's carbon footprint to 2019,Money,kg/gbp,unknown,[],public,['ar4'],0.24,ar4,source,0.24,,0.2,,
construction-type_construction_work,44c8aada-4079-4de4-a1e0-c3347a006259,Construction work,Construction,Buildings and Infrastructure,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,GB,United Kingdom,Emission intensity of supply chain in EUR spend on: construction work. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",0.1673,ar5,source,0.1673,,,,
construction-type_constructions_and_construction_works_for_civil_engineering,a6d37d91-02fc-4198-88a5-dc140fa03ca8,Constructions and construction works for civil engineering,Construction,Buildings and Infrastructure,BEIS,https://www.gov.uk/government/statistics/uks-carbon-footprint,UK full dataset including conversion factors by SIC code,,2019,2019,GB,United Kingdom,Emission intensity of supply chain in GBP spend on: constructions and construction works for civil engineering. Provided by BEIS/DEFRA in the official report on UK and England's carbon footprint to 2019,Money,kg/gbp,unknown,[],public,['ar4'],0.306,ar4,source,0.306,,0.268,,
construction-type_specialised_construction_works,727d156f-58ca-4a7c-bde4-d1aa8ba5b0e1,Specialised construction works,Construction,Buildings and Infrastructure,BEIS,https://www.gov.uk/government/statistics/uks-carbon-footprint,UK full dataset including conversion factors by SIC code,,2019,2019,GB,United Kingdom,Emission intensity of supply chain in GBP spend on: specialised construction works. Provided by BEIS/DEFRA in the official report on UK and England's carbon footprint to 2019,Money,kg/gbp,unknown,[],public,['ar4'],0.23800000000000002,ar4,source,0.23800000000000002,,0.203,,
waste-type_construction-disposal_method_closed_loop,8b65cd37-d376-41d1-a38a-bc560224bb09,Construction waste disposal (closed-loop),Construction Waste,Waste,BEIS,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021,UK Government GHG Conversion Factors for Company Reporting,,2021,2021,GB,United Kingdom,Emission intensity for construction waste disposal - closed-loop. Retrieved from the Conversion Factors 2021: flat file published by the UK BEIS/Defra at the source URL.,Weight,kg/tonne,end_of_life,[],public,['ar4'],0.989,ar4,source,0.989,,,,
waste-type_construction-disposal_method_closed_loop,290add35-f40c-48ca-8b23-b44d5a52e4c2,Construction waste disposal (closed-loop),Construction Waste,Waste,BEIS,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,UK Government GHG Conversion Factors for Company Reporting,,2022,2022,GB,United Kingdom,Emission intensity for construction waste disposal - closed-loop. Retrieved from the Conversion Factors 2022: flat file published by the UK BEIS/Defra at the source URL.,Weight,kg/tonne,end_of_life,[],public,['ar4'],0.98471,ar4,source,0.98471,,,,
waste-type_construction-disposal_method_combustion,a781e5f2-0289-40dc-87b6-3c3baa0f5b34,Construction waste disposal (combustion),Construction Waste,Waste,BEIS,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,UK Government GHG Conversion Factors for Company Reporting,,2022,2022,GB,United Kingdom,Emission intensity for construction waste disposal - combustion. Retrieved from the Conversion Factors 2022: flat file published by the UK BEIS/Defra at the source URL.,Weight,kg/tonne,end_of_life,[],public,['ar4'],21.28019,ar4,source,21.28019,,,,
waste-type_construction-disposal_method_open_loop,d0f45928-4f97-4940-afe7-c943b8b8ad54,Construction waste disposal (open-loop),Construction Waste,Waste,BEIS,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021,UK Government GHG Conversion Factors for Company Reporting,,2021,2021,GB,United Kingdom,Emission intensity for construction waste disposal - open-loop. Retrieved from the Conversion Factors 2021: flat file published by the UK BEIS/Defra at the source URL.,Weight,kg/tonne,end_of_life,[],public,['ar4'],0.989,ar4,source,0.989,,,,
waste-type_construction-disposal_method_open_loop,3a08a4d3-5831-4789-a71d-99120cf61b10,Construction waste disposal (open-loop),Construction Waste,Waste,BEIS,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,UK Government GHG Conversion Factors for Company Reporting,,2022,2022,GB,United Kingdom,Emission intensity for construction waste disposal - open-loop. Retrieved from the Conversion Factors 2022: flat file published by the UK BEIS/Defra at the source URL.,Weight,kg/tonne,end_of_life,[],public,['ar4'],0.98471,ar4,source,0.98471,,,,
building_materials-type_average_construction_primary_material_production,3f72a3d8-974c-45e6-91c2-b287fd368c10,Average construction (Primary material production),Building Materials,Materials and Manufacturing,BEIS,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021,UK Government GHG Conversion Factors for Company Reporting,,2021,2021,GB,United Kingdom,Emission intensity of average construction (primary material production). The EF should be used to report on consumption of procured materials based on their origin (that is comprised of primary material or recycled materials). For primary materials these factors cover the extraction/primary processing/manufacturing and transportation materials to the point of sale not the materials in use. For secondary materials the factors cover sorting/processing/manufacturing and transportation to the point of sale not the materials in use. Retrieved from the Conversion Factors 2021: flat file published by the UK BEIS/Defra at the source URL.,Weight,kg/tonne,cradle_to_gate,[],public,['ar4'],79.97367261,ar4,source,79.97367261,,,,
